bin_center;bernstein_estimate
0,052832;0,055289
0,129615;0,099465
0,206398;0,154355
0,283181;0,188594
0,359964;0,250181
0,436746;0,311597
0,513529;0,366907
0,590312;0,422923
0,667095;0,469223
0,743878;0,506129
0,820661;0,544292
0,897444;0,584995
0,974227;0,621953
1,051010;0,651176
1,127793;0,674036
1,204576;0,693775
1,281359;0,712229
1,358141;0,730393
1,434924;0,749095
1,511707;0,768656
1,588490;0,788723
1,665273;0,808362
1,742056;0,826380
1,818839;0,841928
1,895622;0,854992
1,972405;0,866317
2,049188;0,876913
2,125971;0,887541
2,202753;0,898465
2,279536;0,909492
2,356319;0,920163
2,433102;0,930000
2,509885;0,938670
2,586668;0,946066
2,663451;0,952276
2,740234;0,957509
2,817017;0,962005
2,893800;0,965967
2,970583;0,969531
3,047365;0,972760
3,124148;0,975653
3,200931;0,978162
3,277714;0,980198
3,354497;0,981651
3,431280;0,982386
3,508063;0,982256
3,584846;0,981104
3,661629;0,978766
3,738412;0,975085
3,815195;0,969913
