bin_center;count;empirical_cdf
0,052832;5;0,054348
0,129615;4;0,097826
0,206398;6;0,163043
0,283181;1;0,173913
0,359964;7;0,250000
0,436746;6;0,315217
0,513529;4;0,358696
0,590312;7;0,434783
0,667095;4;0,478261
0,743878;2;0,500000
0,820661;3;0,532609
0,897444;5;0,586957
0,974227;4;0,630435
1,051010;3;0,663043
1,127793;0;0,663043
1,204576;4;0,706522
1,281359;0;0,706522
1,358141;2;0,728261
1,434924;1;0,739130
1,511707;3;0,771739
1,588490;0;0,771739
1,665273;3;0,804348
1,742056;3;0,836957
1,818839;2;0,858696
1,895622;0;0,858696
1,972405;0;0,858696
2,049188;2;0,880435
2,125971;0;0,880435
2,202753;0;0,880435
2,279536;1;0,891304
2,356319;3;0,923913
2,433102;2;0,945652
2,509885;1;0,956522
2,586668;0;0,956522
2,663451;0;0,956522
2,740234;0;0,956522
2,817017;0;0,956522
2,893800;0;0,956522
2,970583;2;0,978261
3,047365;0;0,978261
3,124148;0;0,978261
3,200931;0;0,978261
3,277714;0;0,978261
3,354497;0;0,978261
3,431280;0;0,978261
3,508063;1;0,989130
3,584846;1;1,000000
3,661629;0;1,000000
3,738412;0;1,000000
3,815195;0;1,000000
