x,lambda_t,cdf_empirical,bernstein_1,bernstein_2,bernstein_3,bernstein_4,bernstein_5,bernstein_6,bernstein_7,bernstein_8,bernstein_9,bernstein_10,bernstein_11,bernstein_12,bernstein_13,bernstein_14,bernstein_15,bernstein_16,bernstein_17,bernstein_18,bernstein_19,bernstein_20,bernstein_21,bernstein_22,bernstein_23,bernstein_24,bernstein_25,bernstein_26,bernstein_27,bernstein_28,bernstein_29,bernstein_30,bernstein_31,bernstein_32,bernstein_33,bernstein_34,bernstein_35,bernstein_36,bernstein_37,bernstein_38,bernstein_39,bernstein_40,bernstein_41,bernstein_42,bernstein_43,bernstein_44,bernstein_45,bernstein_46,bernstein_47,bernstein_48,bernstein_49,bernstein_50
0.0005,0.9431,0.2323,0.2323,0.2020,0.2727,0.3232,0.2727,0.2424,0.1717,0.2626,0.3030,0.2626,0.3030,0.1414,0.1212,0.2323,0.2727,0.1616,0.3636,0.1717,0.2020,0.1515,0.1919,0.1818,0.3131,0.3131,0.2626,0.1616,0.2828,0.2828,0.2525,0.3636,0.2323,0.1111,0.1919,0.3535,0.3434,0.3333,0.2424,0.1414,0.2525,0.1717,0.1919,0.2525,0.1515,0.3333,0.3232,0.2525,0.1212,0.2424,0.2828,0.2323
0.2401,0.9431,0.4242,0.3276,0.2927,0.2734,0.3253,0.2728,0.2424,0.3154,0.2657,0.3031,0.2958,0.4135,0.2713,0.2236,0.3617,0.2727,0.2093,0.3636,0.2861,0.2740,0.1741,0.3043,0.1834,0.3458,0.3131,0.2895,0.1815,0.2866,0.2828,0.3193,0.3636,0.2509,0.3019,0.3212,0.3535,0.3434,0.3333,0.3716,0.2927,0.2538,0.2485,0.2435,0.2526,0.2771,0.3335,0.3232,0.4123,0.1605,0.2490,0.3284,0.3898
0.4796,0.9431,0.5253,0.4744,0.4890,0.4950,0.5254,0.4545,0.4343,0.4988,0.4851,0.4647,0.5245,0.5577,0.3873,0.3476,0.4853,0.4545,0.3994,0.6365,0.4416,0.4807,0.3449,0.4729,0.4647,0.4702,0.4444,0.4492,0.3242,0.4954,0.4662,0.4640,0.6112,0.4885,0.4619,0.4740,0.6161,0.5383,0.5151,0.5122,0.4092,0.4243,0.3528,0.3721,0.5152,0.4442,0.4950,0.5081,0.5245,0.2795,0.4660,0.5173,0.5457
0.7192,0.9431,0.6061,0.5658,0.6152,0.5953,0.6362,0.5861,0.5468,0.6563,0.5858,0.5942,0.6423,0.6378,0.5449,0.4432,0.5781,0.5144,0.5246,0.6480,0.5581,0.6112,0.4695,0.5738,0.5551,0.6070,0.5432,0.6024,0.4408,0.6163,0.4854,0.5660,0.6379,0.5876,0.5269,0.5825,0.6820,0.5475,0.6081,0.5777,0.5624,0.5048,0.4387,0.4739,0.6171,0.6196,0.6416,0.5356,0.6152,0.3505,0.6165,0.6358,0.6472
0.9588,0.9431,0.6970,0.6515,0.6841,0.6711,0.6913,0.6429,0.6050,0.7373,0.6882,0.6932,0.7393,0.7079,0.6718,0.5126,0.6727,0.5695,0.6244,0.7367,0.6362,0.6814,0.5986,0.6689,0.6500,0.6730,0.6119,0.6913,0.5309,0.7308,0.6220,0.6807,0.7464,0.6874,0.6015,0.6505,0.7592,0.7351,0.6811,0.6601,0.6689,0.6370,0.5633,0.5674,0.6693,0.7257,0.6987,0.6511,0.7455,0.4260,0.7045,0.7059,0.7404
1.1984,0.9629,0.7778,0.7389,0.7454,0.7352,0.7355,0.7221,0.7377,0.8314,0.7242,0.7591,0.7785,0.7732,0.7653,0.6134,0.7336,0.6548,0.7123,0.7724,0.7138,0.7528,0.6538,0.7352,0.7199,0.7231,0.7155,0.7584,0.6196,0.7973,0.6483,0.7779,0.7767,0.7726,0.6829,0.7228,0.8254,0.7577,0.7758,0.7349,0.7379,0.7247,0.6784,0.6560,0.7408,0.7913,0.7472,0.6690,0.8367,0.5192,0.7557,0.7760,0.7885
1.4379,0.9629,0.8182,0.7977,0.7970,0.7987,0.7832,0.7851,0.7959,0.8657,0.7619,0.8094,0.8074,0.8315,0.8232,0.7114,0.8040,0.6940,0.7724,0.8584,0.7791,0.8162,0.7025,0.7923,0.7929,0.7731,0.7504,0.7897,0.6977,0.8479,0.7559,0.8238,0.8289,0.8108,0.7645,0.7807,0.8580,0.8278,0.8215,0.7786,0.8080,0.8029,0.7543,0.7099,0.7770,0.8468,0.7927,0.7743,0.8754,0.5997,0.8026,0.8434,0.8600
1.6775,0.9629,0.8586,0.8377,0.8461,0.8423,0.8372,0.8095,0.8355,0.8798,0.8134,0.8441,0.8358,0.8535,0.8876,0.7747,0.8646,0.7304,0.8025,0.8837,0.8038,0.8551,0.7321,0.8519,0.8530,0.8192,0.7834,0.8421,0.7781,0.8877,0.7839,0.8346,0.8639,0.8589,0.8482,0.8591,0.8930,0.8550,0.8674,0.8269,0.8742,0.8511,0.8223,0.7509,0.8066,0.8831,0.8678,0.7986,0.8924,0.6645,0.8439,0.8957,0.9173
1.9171,0.9629,0.8788,0.8692,0.8819,0.8842,0.8776,0.8366,0.8837,0.9055,0.8725,0.8791,0.8701,0.8891,0.9129,0.8087,0.8923,0.7840,0.8249,0.9014,0.8451,0.8797,0.7761,0.8902,0.9011,0.8488,0.8367,0.8732,0.8190,0.9139,0.8210,0.8633,0.8845,0.8996,0.9164,0.9043,0.9238,0.8816,0.9434,0.8937,0.9140,0.8769,0.8843,0.7930,0.8403,0.9176,0.9039,0.8392,0.9170,0.7087,0.8726,0.9089,0.9543
2.1567,0.9629,0.8990,0.8898,0.9020,0.9176,0.8980,0.8724,0.9145,0.9216,0.9132,0.9112,0.8959,0.9341,0.9446,0.8422,0.9248,0.8072,0.8652,0.9156,0.8843,0.9135,0.8205,0.9287,0.9170,0.8742,0.8663,0.9020,0.8386,0.9394,0.8592,0.8993,0.9057,0.9185,0.9553,0.9304,0.9345,0.9084,0.9683,0.9240,0.9437,0.8960,0.9202,0.8361,0.8820,0.9459,0.9224,0.8783,0.9401,0.7659,0.8909,0.9186,0.9614
2.3963,0.9629,0.9293,0.9136,0.9174,0.9490,0.9242,0.8961,0.9360,0.9391,0.9335,0.9319,0.9296,0.9488,0.9708,0.8899,0.9516,0.8299,0.9119,0.9252,0.9132,0.9377,0.8701,0.9484,0.9346,0.8863,0.8929,0.9334,0.8708,0.9636,0.8879,0.9244,0.9141,0.9194,0.9723,0.9385,0.9415,0.9312,0.9793,0.9394,0.9629,0.9265,0.9408,0.8680,0.9061,0.9576,0.9325,0.9089,0.9512,0.8357,0.9070,0.9312,0.9679
2.6358,0.9629,0.9394,0.9343,0.9355,0.9743,0.9445,0.9172,0.9522,0.9585,0.9460,0.9437,0.9489,0.9668,0.9859,0.9352,0.9667,0.8560,0.9344,0.9392,0.9431,0.9507,0.8914,0.9554,0.9585,0.8958,0.9181,0.9483,0.8998,0.9820,0.9173,0.9432,0.9221,0.9227,0.9886,0.9405,0.9475,0.9605,0.9816,0.9508,0.9736,0.9472,0.9635,0.9006,0.9260,0.9711,0.9471,0.9170,0.9607,0.8904,0.9187,0.9530,0.9710
2.8754,0.9629,0.9596,0.9498,0.9565,0.9866,0.9582,0.9366,0.9643,0.9784,0.9583,0.9487,0.9558,0.9814,0.9899,0.9546,0.9718,0.8732,0.9505,0.9546,0.9645,0.9699,0.9089,0.9617,0.9780,0.9158,0.9339,0.9506,0.9155,0.9891,0.9324,0.9635,0.9340,0.9328,0.9957,0.9467,0.9499,0.9736,0.9865,0.9594,0.9801,0.9495,0.9867,0.9327,0.9386,0.9901,0.9610,0.9276,0.9731,0.9189,0.9332,0.9721,0.9762
3.1150,0.9551,0.9697,0.9625,0.9741,0.9896,0.9732,0.9495,0.9792,0.9885,0.9706,0.9502,0.9646,0.9889,0.9922,0.9650,0.9776,0.8870,0.9652,0.9665,0.9796,0.9818,0.9302,0.9708,0.9891,0.9302,0.9471,0.9547,0.9310,0.9899,0.9423,0.9724,0.9476,0.9451,0.9992,0.9588,0.9526,0.9799,0.9898,0.9668,0.9876,0.9504,0.9972,0.9612,0.9463,0.9985,0.9682,0.9446,0.9852,0.9401,0.9509,0.9840,0.9832
